<trait>	FLC	FRI
5837	0.813	2.4135

6008	0.018	0.243

6009	0.939	1.3987

6016	2.084	1.89

6040	2.321	1.901

6042	0.052	0.425

6043	1.49	1.7791

6046	3.324	4.3861

6064	1.234	0.838

6074	1.628	1.112

6243	0.248	1.358

6709	0.548	1.069

6897	2.867	1.0283

6898	0.111	1.3907

6899	0.196	0.3372

6900	1.113	2.7299

6901	1.473	3.1047

6903	0.369	1.5878

6904	6.27	2.0591

6905	0.445	1.1803

6906	1.264	1.3541

6907	0.857	1.4871

6908	1.293	1.3286

6909	0.127	1.2302

6910	0.035	0.3132

6911	2.179	2.2244

6913	1.846	2.115

6914	1.811	0.8065

6915	0.463	1.2478

6916	0.073	1.3893

6917	1.287	1.8538

6918	0.951	1.8848

6919	0.7	0.396

6920	0.802	0.9328

6921	0.835	0.9747

6922	0.125	1.0577

6923	0.289	0.9374

6924	0.071	1.0266

6926	0.383	0.6407

6927	0.382	1.8628

6928	0.068	1.0219

6929	1.02	0.825

6930	0.463	0.669

6931	0.106	0.512

6932	0.111	0.3406

6933	2.597	1.3012

6936	1.378	0.3965

6937	0.081	0.3277

6939	0.185	1.1142

6940	0.096	1.2245

6942	0.144	1.0632

6943	0.162	0.8388

6944	0.203	1.1036

6945	0.858	1.258

6946	0.038	0.816

6951	0.661	2.4586

6956	1.3	2.2153

6957	2.175	2.234

6958	3.397	0.4204

6959	0.459	0.6573

6960	0.241	0.7975

6961	3.63	1.009

6962	0.063	1.0127

6963	1.371	0.6743

6964	0.771	1.0586

6965	1.793	1.7159

6966	0.995	0.8259

6967	0.021	0.798

6968	2.197	1.0727

6969	2.777	1.3021

6970	3.633	1.2371

6971	2.26	1.5324

6972	0.06	0.2614

6973	0.045	1.6034

6974	1.346	0.8484

6975	0.116	0.7402

6976	1.849	1.7096

6977	1.182	1.6562

6978	0.11	1.1646

6979	0.055	0.3291

6980	1.499	0.7839

6981	0.025	0.4196

6982	0.047	0.211

6983	0.702	1.0985

6984	0.044	0.4455

6985	0.336	1.7672

6988	3.049	1.143

7000	NA	NA

7014	NA	NA

7033	NA	NA

7062	NA	NA

7064	NA	NA

7081	0.849	0.934

7094	NA	NA

7123	NA	NA

7147	NA	NA

7163	NA	NA

7231	NA	NA

7255	NA	NA

7275	NA	NA

7282	NA	NA

7296	0.109	0.246

7306	NA	NA

7323	NA	NA

7346	NA	NA

7418	NA	NA

7424	NA	NA

7438	1.552	1.3951

7460	NA	NA

7461	0.469	0.563

7477	NA	NA

7514	0.183	0.2262

7515	0.272	0.9646

7516	1.092	0.3914

7517	1.91	2.6742

7518	1.715	1.6083

7519	1.143	1.5632

7520	0.155	2.0038

7521	1.111	3.6373

7522	2.695	1.0036

7523	0.889	1.8292

7524	0.572	2.0003

7525	0.138	0.7095

7526	0.181	0.7381

8213	0.335	1.1361

8214	0.96	1.1831

8215	0.839	1.3153

8222	1.265	0.767

8230	2.941	2.489

8231	1.882	0.903

8233	0.627	1.875

8235	1.169	0.825

8236	0.114	1.072

8237	1.063	1.385

8239	0.062	2.269

8240	1.434	0.86

8241	0.37	1.146

8242	1.248	0.636

8243	3.598	0.958

8245	0.362	0.76

8247	3.151	2.093

8249	1.183	1.281

8254	1.106	1.494

8256	0.037	1.79

8258	0.338	1.019

8259	0.364	0.883

8264	NA	NA

8265	0.088	1.345

8266	1.266	0.701

8270	0.482	NA

8271	0.146	1.714

8274	NA	NA

8275	0.899	0.704

8283	2.073	1.85

8284	0.85	0.696

8285	0.06	0.623

8290	0.157	0.402

8296	0.127	1.152

8297	4.352	1.253

8300	0.175	NA

8306	0.81	0.804

8310	0.184	0.737

8311	1.516	1.009

8312	0.328	0.449

8313	0.136	0.33

8314	1.222	0.571

8323	NA	NA

8325	0.043	1.476

8326	0.245	1.468

8329	0.102	0.32

8334	1.69	1.398

8335	2.782	1.914

8337	NA	NA

8343	0.166	0.283

8351	2.07	0.723

8353	NA	NA

8354	0.361	0.469

8357	NA	NA

8365	NA	NA

8366	NA	NA

8369	3.065	2.352

8374	0.309	0.69

8376	1.629	0.937

8378	0.862	1.27

8387	0.058	NA

8388	NA	NA

8389	0.156	2.64

8395	0.035	0.846

8411	0.082	0.894

8412	0.06	0.399

8420	NA	NA

8422	NA	NA

8423	0.179	1.1

8424	5.958	1.8633

8426	0.017	0.709

8430	1.116	1.958

9057	0.175	0.418

9058	3.971	2.331

100000	NA	NA

